"id","name","type","calories","tags","ingredients","instructions","image","is_premium","macros","created_at"
53,"Portobello Mushroom Burger","Dinner",350,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Portobello Mushroom"",""quantity"":""2""},{""name"":""Lettuce"",""quantity"":""2 leaves""}]","[""Grill mushrooms."",""Use as buns.""]","/images/mushroom_burger.png",false,"{""calories"":350,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-06T09:22:38.088Z"
54,"Fish Tacos","Dinner",450,"[""Fish"",""Meat""]","[{""name"":""White Fish"",""quantity"":""4 oz""},{""name"":""Tortilla"",""quantity"":""2""},{""name"":""Cabbage"",""quantity"":""1/2 cup""}]","[""Fry fish."",""Fill tacos.""]","/images/fish_tacos.png",false,"{""calories"":450,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
55,"Spaghetti Bolognese","Dinner",700,"[""Beef"",""Meat""]","[{""name"":""Spaghetti"",""quantity"":""1 cup""},{""name"":""Ground Beef"",""quantity"":""4 oz""},{""name"":""Tomato Sauce"",""quantity"":""1/2 cup""}]","[""Cook sauce with beef."",""Serve over pasta.""]","/images/spaghetti_bolognese.png",false,"{""calories"":700,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
56,"Eggplant Parmesan","Dinner",550,"[""Vegetarian""]","[{""name"":""Eggplant"",""quantity"":""1""},{""name"":""Marinara"",""quantity"":""1 cup""},{""name"":""Mozzarella"",""quantity"":""1/2 cup""}]","[""Bread eggplant."",""Bake with sauce and cheese.""]","/images/eggplant_parm.png",false,"{""calories"":550,""protein"":""20g"",""carbs"":""40g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
57,"Lemon Herb Chicken","Dinner",450,"[""Chicken"",""Meat"",""Gluten-Free"",""Keto""]","[{""name"":""Chicken Thighs"",""quantity"":""2""},{""name"":""Lemon"",""quantity"":""1""},{""name"":""Herbs"",""quantity"":""Mix""}]","[""Roast chicken with herbs.""]","/images/lemon_chicken.png",false,"{""calories"":450,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-06T09:22:38.088Z"
58,"Avocado Toast with Poached Egg","Breakfast",350,"[""Vegetarian"",""Egg""]","[{""name"":""Sourdough Bread"",""quantity"":""1 slice""},{""name"":""Avocado"",""quantity"":""1/2""},{""name"":""Egg"",""quantity"":""1""}]","[""Toast bread."",""Mash avocado."",""Poach egg."",""Assemble.""]","/images/avocado_toast_egg.png",false,"{""calories"":350,""protein"":""12g"",""carbs"":""30g"",""fats"":""18g""}","2026-01-06T09:42:41.943Z"
59,"Berry Smoothie Bowl","Breakfast",300,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Frozen Berries"",""quantity"":""1 cup""},{""name"":""Banana"",""quantity"":""1""},{""name"":""Almond Milk"",""quantity"":""1/2 cup""}]","[""Blend all ingredients."",""Pour into bowl."",""Top with granola.""]","/images/berry_smoothie_bowl.png",false,"{""calories"":300,""protein"":""5g"",""carbs"":""50g"",""fats"":""4g""}","2026-01-06T09:42:41.944Z"
60,"Vegetable Omelette","Breakfast",250,"[""Vegetarian"",""Gluten-Free"",""Keto"",""Egg""]","[{""name"":""Eggs"",""quantity"":""2""},{""name"":""Bell Peppers"",""quantity"":""1/4 cup""},{""name"":""Onion"",""quantity"":""2 tbsp""}]","[""Whisk eggs."",""Sauté veggies."",""Cook omelette.""]","/images/vegetable_omelette.png",false,"{""calories"":250,""protein"":""14g"",""carbs"":""5g"",""fats"":""18g""}","2026-01-06T09:42:41.944Z"
61,"Greek Yogurt Bowl","Breakfast",300,"[""Vegetarian"",""Gluten-Free""]","[{""name"":""Greek Yogurt"",""quantity"":""1 cup""},{""name"":""Honey"",""quantity"":""1 tbsp""},{""name"":""Walnuts"",""quantity"":""2 tbsp""}]","[""Scoop yogurt."",""Top with walnuts."",""Drizzle honey.""]","/images/greek_yogurt_honey.png",false,"{""calories"":300,""protein"":""22g"",""carbs"":""20g"",""fats"":""12g""}","2026-01-06T09:42:41.944Z"
62,"Vegan Pancakes","Breakfast",400,"[""Vegan"",""Vegetarian""]","[{""name"":""Flour"",""quantity"":""1 cup""},{""name"":""Almond Milk"",""quantity"":""1 cup""},{""name"":""Baking Powder"",""quantity"":""1 tbsp""}]","[""Mix ingredients."",""Cook on griddle.""]","/images/vegan_pancakes.png",false,"{""calories"":400,""protein"":""8g"",""carbs"":""70g"",""fats"":""6g""}","2026-01-06T09:42:41.944Z"
63,"Scrambled Tofu Burrito","Breakfast",450,"[""Vegan"",""Vegetarian""]","[{""name"":""Tofu"",""quantity"":""1/2 block""},{""name"":""Tortilla"",""quantity"":""1""}]","[""Scramble tofu."",""Wrap in tortilla.""]","/images/scrambled_tofu_burrito.png",false,"{""calories"":450,""protein"":""18g"",""carbs"":""45g"",""fats"":""15g""}","2026-01-06T09:42:41.944Z"
64,"Peanut Butter Banana Toast","Breakfast",350,"[""Vegan"",""Vegetarian""]","[{""name"":""Bread"",""quantity"":""1 slice""},{""name"":""Peanut Butter"",""quantity"":""1 tbsp""},{""name"":""Banana"",""quantity"":""1""}]","[""Toast bread."",""Spread PB."",""Slice banana.""]","/images/pb_banana_toast.png",false,"{""calories"":350,""protein"":""10g"",""carbs"":""40g"",""fats"":""14g""}","2026-01-06T09:42:41.944Z"
65,"Breakfast Quinoa Bowl","Breakfast",400,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Quinoa"",""quantity"":""1 cup""},{""name"":""Almond Milk"",""quantity"":""1/2 cup""}]","[""Cook quinoa."",""Add milk.""]","/images/breakfast_quinoa.png",false,"{""calories"":400,""protein"":""12g"",""carbs"":""55g"",""fats"":""8g""}","2026-01-06T09:42:41.944Z"
66,"Mushroom Spinach Frittata","Breakfast",300,"[""Vegetarian"",""Keto"",""Gluten-Free"",""Egg""]","[{""name"":""Eggs"",""quantity"":""3""},{""name"":""Mushrooms"",""quantity"":""1/2 cup""}]","[""Sauté veg."",""Add eggs."",""Bake.""]","/images/mushroom_frittata.png",false,"{""calories"":300,""protein"":""18g"",""carbs"":""6g"",""fats"":""20g""}","2026-01-06T09:42:41.944Z"
67,"Smoked Salmon Bagel","Breakfast",450,"[""Fish"",""Meat""]","[{""name"":""Bagel"",""quantity"":""1""},{""name"":""Cream Cheese"",""quantity"":""2 tbsp""},{""name"":""Smoked Salmon"",""quantity"":""2 oz""}]","[""Slice bagel."",""Spread cheese."",""Top with salmon.""]","/images/salmon_bagel.png",false,"{""calories"":450,""protein"":""25g"",""carbs"":""50g"",""fats"":""15g""}","2026-01-06T09:42:41.944Z"
68,"Caprese Salad","Lunch",350,"[""Vegetarian"",""Gluten-Free"",""Keto""]","[{""name"":""Tomato"",""quantity"":""2""},{""name"":""Mozzarella"",""quantity"":""4 oz""},{""name"":""Basil"",""quantity"":""Fresh""}]","[""Slice tomatoes and cheese."",""Layer with basil."",""Drizzle balsamic.""]","/images/caprese_salad.png",false,"{""calories"":350,""protein"":""20g"",""carbs"":""8g"",""fats"":""25g""}","2026-01-06T09:42:41.944Z"
69,"Chicken Wrap","Lunch",500,"[""Chicken"",""Meat""]","[{""name"":""Tortilla"",""quantity"":""1""},{""name"":""Chicken Breast"",""quantity"":""4 oz""},{""name"":""Lettuce"",""quantity"":""1 cup""}]","[""Cook chicken."",""Wrap with lettuce.""]","/images/chicken_wrap.png",false,"{""calories"":500,""protein"":""35g"",""carbs"":""40g"",""fats"":""18g""}","2026-01-06T09:42:41.944Z"
70,"Lentil Salad","Lunch",400,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Lentils"",""quantity"":""1 cup cooked""},{""name"":""Cucumber"",""quantity"":""1/2""},{""name"":""Lemon"",""quantity"":""1""}]","[""Mix lentils and veggies."",""Dress with lemon.""]","/images/lentil_salad.png",false,"{""calories"":400,""protein"":""15g"",""carbs"":""50g"",""fats"":""5g""}","2026-01-06T09:42:41.944Z"
71,"Tuna Salad","Lunch",350,"[""Fish"",""Meat"",""Gluten-Free""]","[{""name"":""Canned Tuna"",""quantity"":""1 can""},{""name"":""Mayo"",""quantity"":""1 tbsp""}]","[""Mix tuna and mayo.""]","/images/tuna_salad.png",false,"{""calories"":350,""protein"":""30g"",""carbs"":""2g"",""fats"":""20g""}","2026-01-06T09:42:41.944Z"
72,"Falafel Pita","Lunch",550,"[""Vegan"",""Vegetarian""]","[{""name"":""Pita"",""quantity"":""1""},{""name"":""Falafel"",""quantity"":""4""},{""name"":""Tahini"",""quantity"":""1 tbsp""}]","[""Stuff pita."",""Drizzle tahini.""]","/images/falafel_pita.png",false,"{""calories"":550,""protein"":""18g"",""carbs"":""70g"",""fats"":""22g""}","2026-01-06T09:42:41.944Z"
73,"Cobb Salad","Lunch",600,"[""Keto"",""Gluten-Free"",""Chicken"",""Meat"",""Egg""]","[{""name"":""Lettuce"",""quantity"":""2 cups""},{""name"":""Chicken"",""quantity"":""4 oz""},{""name"":""Egg"",""quantity"":""1""}]","[""Assemble salad.""]","/images/cobb_salad.png",false,"{""calories"":600,""protein"":""40g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-06T09:42:41.944Z"
74,"Hearty Vegetable Soup","Lunch",300,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Bean Mix"",""quantity"":""1 cup""},{""name"":""Carrots"",""quantity"":""2""},{""name"":""Broth"",""quantity"":""2 cups""}]","[""Simmer veggies and beans.""]","/images/vegetable_soup.png",false,"{""calories"":300,""protein"":""12g"",""carbs"":""40g"",""fats"":""3g""}","2026-01-06T09:42:41.944Z"
75,"Turkey Burger","Lunch",450,"[""Meat"",""Turkey""]","[{""name"":""Turkey Patty"",""quantity"":""1""},{""name"":""Bun"",""quantity"":""1""}]","[""Grill burger."",""Serve on bun.""]","/images/turkey_burger.png",false,"{""calories"":450,""protein"":""30g"",""carbs"":""35g"",""fats"":""15g""}","2026-01-06T09:42:41.944Z"
76,"Spinach Pasta","Lunch",500,"[""Vegetarian""]","[{""name"":""Pasta"",""quantity"":""1 cup""},{""name"":""Spinach"",""quantity"":""2 cups""}]","[""Cook pasta."",""Sauté spinach."",""Mix.""]","/images/spinach_pasta.png",false,"{""calories"":500,""protein"":""15g"",""carbs"":""75g"",""fats"":""8g""}","2026-01-06T09:42:41.944Z"
77,"Shrimp Taco Bowl","Lunch",400,"[""Fish"",""Meat"",""Gluten-Free""]","[{""name"":""Shrimp"",""quantity"":""4 oz""},{""name"":""Rice"",""quantity"":""1/2 cup""},{""name"":""Corn"",""quantity"":""1/4 cup""}]","[""Cook shrimp."",""Simmer corn."",""Serve over rice.""]","/images/shrimp_taco_bowl.png",false,"{""calories"":400,""protein"":""25g"",""carbs"":""45g"",""fats"":""10g""}","2026-01-06T09:42:41.944Z"
78,"Beef Stir Fry","Dinner",600,"[""Beef"",""Meat"",""Gluten-Free""]","[{""name"":""Beef Strips"",""quantity"":""6 oz""},{""name"":""Broccoli"",""quantity"":""1 cup""},{""name"":""Soy Sauce"",""quantity"":""2 tbsp""}]","[""Stir fry beef."",""Add broccoli.""]","/images/beef_stir_fry.png",false,"{""calories"":600,""protein"":""45g"",""carbs"":""20g"",""fats"":""30g""}","2026-01-06T09:42:41.944Z"
79,"Baked Salmon with Asparagus","Dinner",500,"[""Fish"",""Meat"",""Keto"",""Gluten-Free""]","[{""name"":""Salmon"",""quantity"":""6 oz""},{""name"":""Asparagus"",""quantity"":""1 bunch""}]","[""Bake salmon and asparagus.""]","/images/baked_salmon.png",false,"{""calories"":500,""protein"":""40g"",""carbs"":""5g"",""fats"":""28g""}","2026-01-06T09:42:41.944Z"
80,"Vegetarian Chili","Dinner",400,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Beans"",""quantity"":""2 cans""},{""name"":""Tomato Sauce"",""quantity"":""1 can""},{""name"":""Chili Powder"",""quantity"":""2 tbsp""}]","[""Simmer everything.""]","/images/vegetarian_chili.png",false,"{""calories"":400,""protein"":""18g"",""carbs"":""60g"",""fats"":""5g""}","2026-01-06T09:42:41.944Z"
81,"Pesto Pasta","Dinner",550,"[""Vegetarian""]","[{""name"":""Pasta"",""quantity"":""1 cup""},{""name"":""Pesto"",""quantity"":""2 tbsp""}]","[""Cook pasta."",""Toss with pesto.""]","/images/pesto_pasta.png",false,"{""calories"":550,""protein"":""12g"",""carbs"":""70g"",""fats"":""25g""}","2026-01-06T09:42:41.944Z"
82,"Chicken Curry","Dinner",600,"[""Chicken"",""Meat"",""Gluten-Free""]","[{""name"":""Chicken"",""quantity"":""4 oz""},{""name"":""Coconut Milk"",""quantity"":""1 cup""},{""name"":""Curry Paste"",""quantity"":""1 tbsp""}]","[""Simmer chicken in sauce.""]","/images/chicken_curry.png",false,"{""calories"":600,""protein"":""35g"",""carbs"":""15g"",""fats"":""40g""}","2026-01-06T09:42:41.944Z"
83,"Portobello & Swiss Burger","Dinner",500,"[""Vegetarian"",""Gluten-Free""]","[{""name"":""Portobello Mushroom"",""quantity"":""2""},{""name"":""Swiss Cheese"",""quantity"":""1 slice""},{""name"":""Bun"",""quantity"":""1""}]","[""Grill mushrooms."",""Melt cheese."",""Place on bun.""]","/images/mushroom_burger.png",false,"{""calories"":500,""protein"":""20g"",""carbs"":""40g"",""fats"":""25g""}","2026-01-06T09:42:41.944Z"
84,"Fish Tacos","Dinner",450,"[""Fish"",""Meat""]","[{""name"":""White Fish"",""quantity"":""4 oz""},{""name"":""Tortilla"",""quantity"":""2""},{""name"":""Cabbage"",""quantity"":""1/2 cup""}]","[""Fry fish."",""Fill tacos.""]","/images/fish_tacos.png",false,"{""calories"":450,""protein"":""25g"",""carbs"":""40g"",""fats"":""18g""}","2026-01-06T09:42:41.944Z"
85,"Spaghetti Bolognese","Dinner",700,"[""Beef"",""Meat""]","[{""name"":""Spaghetti"",""quantity"":""1 cup""},{""name"":""Ground Beef"",""quantity"":""4 oz""},{""name"":""Tomato Sauce"",""quantity"":""1/2 cup""}]","[""Cook sauce with beef."",""Serve over pasta.""]","/images/spaghetti_bolognese.png",false,"{""calories"":700,""protein"":""35g"",""carbs"":""80g"",""fats"":""25g""}","2026-01-06T09:42:41.944Z"
86,"Eggplant Parmesan","Dinner",550,"[""Vegetarian""]","[{""name"":""Eggplant"",""quantity"":""1""},{""name"":""Marinara"",""quantity"":""1 cup""},{""name"":""Mozzarella"",""quantity"":""1/2 cup""}]","[""Bread eggplant."",""Bake with sauce and cheese.""]","/images/eggplant_parm.png",false,"{""calories"":550,""protein"":""20g"",""carbs"":""45g"",""fats"":""30g""}","2026-01-06T09:42:41.944Z"
87,"Lemon Herb Chicken","Dinner",450,"[""Chicken"",""Meat"",""Gluten-Free"",""Keto""]","[{""name"":""Chicken Thighs"",""quantity"":""2""},{""name"":""Lemon"",""quantity"":""1""},{""name"":""Herbs"",""quantity"":""Mix""}]","[""Roast chicken with herbs.""]","/images/lemon_chicken.png",false,"{""calories"":450,""protein"":""30g"",""carbs"":""2g"",""fats"":""35g""}","2026-01-06T09:42:41.944Z"
